;index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
378;32962;44409;4050045;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J SOARES;RUA FELICIANO DE MENDONCA;496;JARDIM SOARES;(11)25577022;8460365.0;SP;São Paulo;2016;5;-23.5537329;-46.3985834;R. Felíciano de Mendonça, 496 - Jardim Sao Paulo(Zona Leste), São Paulo - SP, 08460-365, Brazil
379;32990;44558;5120780;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J LOURDES;AV ENG ARMANDO DE ARRUDA PEREIRA;4004;JABAQUARA;11 50213432;4325000.0;SP;São Paulo;2016;5;-23.6601306;-46.63701;Av. Eng. Armando de Arruda Pereira, 4004 - Americanópolis, São Paulo - SP, 04325-000, Brazil
380;32991;44404;4049985;-234.686.207.771.294;-466.034.030.914.293;AMA UBS INTEGRADA WAMBERTO DIAS DA COSTA;RUA PAULO CESAR;60;JARDIM TREMEMBE;(11)2203-8992;2311240.0;SP;São Paulo;2016;5;-23.4686977;-46.6033936;R. Paulo César, 60 - Vila Mazzei, São Paulo - SP, Brazil
381;33000;44406;4050002;-234.972.544;-464.891.933;UBS PEDRO DE SOUZA CAMPOS;RUA PAULO BIFANO ALVES;764;PARQUE BUTURUSSU;(11)2546-4111;3801000.0;SP;São Paulo;2016;5;-23.5030847;-46.4840743;R. Paulo Bifano Alves, 764 - Parque Boturussu, São Paulo - SP, Brazil
382;33045;44413;4050118;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J THOMAS;RUA AUDALIO GONCALVES DOS SANTOS;158;JARDIM THOMAS;(11)55140345;5833040.0;SP;São Paulo;2016;5;-23.6738162;-46.7561227;R. Audálio Gonçalves dos Santos, 158 - Jardim Thomaz, São Paulo - SP, 05833-040, Brazil
383;33047;44418;4050207;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS V NOVA CURUCA;RUA NARCEJA;51;SAO MIGUEL PAULISTA;(11)2035-2292;8032340.0;SP;São Paulo;2016;5;-23.5161128;-46.4266133;R. Narceja, 51 - Vila Nova Curuca, São Paulo - SP, 08032-340, Brazil
384;33072;44403;4049977;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS CRUZ DAS ALMAS;RUA PADRE FELICIANO DOMINGUES;90;FREGUESIA DO O;(11)39753531;2965140.0;SP;São Paulo;2016;5;-23.4838226;-46.7031959;R. Padre Feliciano Domingues, 90 - Jardim Mariliza, São Paulo - SP, 02965-140, Brazil
385;33075;44420;4050347;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS CARLOS GENTILE DE MELO;AVN DOS TEXTEIS;3765;CIDADE TIRADENTES;(11)29648081;8490600.0;SP;São Paulo;2016;5;-23.5885605;-46.3964948;R. dos Têxteis, 3765 - Cidade Tiradentes, São Paulo - SP, 08490-600, Brazil
386;33077;44421;4050398;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS PASTORAL;RUA BOLEADEIRAS;127;PQ STA MADALENA;2702-5889;3980120.0;SP;São Paulo;2016;5;-23.6162679;-46.5166827;R. Boleadeiras, 127 - Jardim Elba, São Paulo - SP, 03980-120, Brazil
387;33085;44416;4050177;-235.809.838.771.813;-4.640.434.026.718;AMA UBS INTEGRADA CASTRO ALVES;RUA CADERNO DE VIAGEM;55;CASTRO ALVES;(11)22820320;8474170.0;SP;São Paulo;2016;5;-23.5804337;-46.40438049999999;Rua Cadernos de Viagem, 55 - Conj. Hab. Castro Alves, São Paulo - SP, 08474-160, Brazil
